article_id,citation,year,title,region,study_context,study_type,main_regeneration_frame,root_terms_present,seed_terms_present,root_term_count_rough,seed_term_count_rough,root_terms_location,seed_terms_location,root_treatment_score,seed_treatment_score,root_framing,seed_framing,root_evidence_type,seed_evidence_type,does_article_assume_suckering,does_article_distinguish_seed_vs_sucker,compares_seed_and_sucker,genetic_validation,physical_validation,main_claim_about_regeneration,important_quote_root,important_quote_seed,page_root,page_seed,relevance_to_thesis,notes
AB_0032,Weimer J. (2024). AMERICAN BEECH FACES ANOTHER HURDLE: BEECH LEAF DISEASE,2024,AMERICAN BEECH FACES ANOTHER HURDLE: BEECH LEAF DISEASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0033,Bernard A.; Gélinas N.; Duchateau E.; Durocher C.; Achim A. (2019). American beech in value-added hardwood products: Assessing consumer preferences,2019,American beech in value-added hardwood products: Assessing consumer preferences,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0034,Hudson J.E.; Levia D.F.; Wheeler K.I.; Winters C.G.; Vaughan M.C.H.; Chace J.F.; Sleeper R. (2018). American beech leaf-litter leachate chemistry: Effects of geography and phenophase,2018,American beech leaf-litter leachate chemistry: Effects of geography and phenophase,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0035,Dumont S.; Bédard S.; Moreau G. (2025). American beech mortality in stands recently infected by beech bark disease: implications for partial cutting,2025,American beech mortality in stands recently infected by beech bark disease: implications for partial cutting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0036,Leduc F.; Chagnon C.; Moreau G.; Dumont S.; St-Jean É.; Achim A. (2024). American beech outgrows sugar maple at the sapling stage regardless of partial harvest intensity in northern hardwood forests,2024,American beech outgrows sugar maple at the sapling stage regardless of partial harvest intensity in northern hardwood forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0037,Moore F.; Rochon P.; Dupuch A.; Nolet P. (2026). American beech sapling dominance: Stand-scale insights from mobile laser scanning,2026,American beech sapling dominance: Stand-scale insights from mobile laser scanning,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0038,Ware D.M.E.; Ware S. (1992). An Acer barbatum-rich ravine forest community in the Virginia Coastal Plain,1992,An Acer barbatum-rich ravine forest community in the Virginia Coastal Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0039,White D.A. (1987). An American beech-dominated original growth forest in southeast Louisiana,1987,An American beech-dominated original growth forest in southeast Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0040,Brashears M.B.; Fajvan M.A.; Schuler T.M. (2004). An Assessment of Canopy Stratification and Tree Species Diversity Following Clearcutting in Central Appalachian Hardwoods,2004,An Assessment of Canopy Stratification and Tree Species Diversity Following Clearcutting in Central Appalachian Hardwoods,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0041,Whitney G.G. (1987). An ecological history of the Great Lakes forest of Michigan.,1987,An ecological history of the Great Lakes forest of Michigan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0042,"Tompkins R. (2004). An ecological study of Magnolia macrophylla in Gaston County, North Carolina",2004,"An ecological study of Magnolia macrophylla in Gaston County, North Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0043,Busby P.E.; Canham C.D. (2011). An exotic insect and pathogen disease complex reduces aboveground tree biomass in temperate forests of eastern North America,2011,An exotic insect and pathogen disease complex reduces aboveground tree biomass in temperate forests of eastern North America,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0044,"Beauchamp V.B.; Koontz S.M.; Suss C.; Hawkins C.; Kyde K.L.; Schnase J.L. (2013). An introduction to Oplismenus undulatifolius (Ard.) Roem. & Schult. (wavyleaf basketgrass), a recent invader in Mid-Atlantic forest understories",2013,"An introduction to Oplismenus undulatifolius (Ard.) Roem. & Schult. (wavyleaf basketgrass), a recent invader in Mid-Atlantic forest understories",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0045,"Laflamme J.; Munson A.D.; Grondin P.; Arseneault D. (2016). Anthropogenic disturbances create a new vegetation toposequence in the Gatineau River Valley, Quebec",2016,"Anthropogenic disturbances create a new vegetation toposequence in the Gatineau River Valley, Quebec",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0046,Bergeron P.; Réale D.; Humphries M.M.; Garant D. (2011). Anticipation and tracking of pulsed resources drive population dynamics in eastern chipmunks,2011,Anticipation and tracking of pulsed resources drive population dynamics in eastern chipmunks,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0047,Seagle S.W.; Liang S.-Y. (2001). Application of a forest gap model for prediction of browsing effects on riparian forest succession,2001,Application of a forest gap model for prediction of browsing effects on riparian forest succession,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0048,Dombroskie S.; McKendy M.; Ruelland C.; Richards W.; Bourque C.P.-A.; Meng F.-R. (2010). Assessing impact of projected future climate on tree species growth and yield: Development of an evaluation strategy,2010,Assessing impact of projected future climate on tree species growth and yield: Development of an evaluation strategy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0049,Nyland R.D.; Nystrom L.; Kiernan D.H.; Bevilacqua E. (2019). Assessing small-stem density in northern hardwood selection system stands,2019,Assessing small-stem density in northern hardwood selection system stands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0050,Weyrens J.; Germain R. (2022). Assessing the Economic Viability of the Mechanized Removal of Understory Beech during a Shelterwood Harvest,2022,Assessing the Economic Viability of the Mechanized Removal of Understory Beech during a Shelterwood Harvest,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0051,Rosemier J.N.; Storer A.J. (2010). Assessing the responses of native small mammals to an incipient invasion of beech bark disease through changes in seed production of American beech (Fagus grandifolia),2010,Assessing the responses of native small mammals to an incipient invasion of beech bark disease through changes in seed production of American beech (Fagus grandifolia),,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0052,Nagy C.; Ng C.; Veverka N.; Weckel M. (2022). Assessment of a 15-year white-tailed deer management program and woody recovery in a suburban forest preserve,2022,Assessment of a 15-year white-tailed deer management program and woody recovery in a suburban forest preserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0053,Koch J.L.; Carey D.W.; Mason M.E.; Dana Nelson C. (2010). Assessment of beech scale resistance in full- and half-sibling American beech families,2010,Assessment of beech scale resistance in full- and half-sibling American beech families,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0054,Wiggins G.J.; Grant J.F.; Windham M.T.; Vance R.A.; Rutherford B.; Klein R.; Johnson K.; Taylor G. (2004). Associations between causal agents of the beech bark disease complex [Cryptococcus fagisuga (Homoptera: Cryptococcidae) and Nectria spp.] in the Great Smoky Mountains National Park,2004,Associations between causal agents of the beech bark disease complex [Cryptococcus fagisuga (Homoptera: Cryptococcidae) and Nectria spp.] in the Great Smoky Mountains National Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0055,Morris A.B.; Millsaps N.K.; Mason K.Q.; Howell J.S.; Speer J.H. (2014). Ature beech trees (Fagus Grandifolia; Fagaceae) are persistently clonal in coves and beech gaps in the Great Smoky Mountains,2014,Ature beech trees (Fagus Grandifolia; Fagaceae) are persistently clonal in coves and beech gaps in the Great Smoky Mountains,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0056,Amthor J.S.; Gill D.S.; Bormann F.H. (1990). Autumnal leaf conductance and apparent photosynthesis by saplings and sprouts in a recently disturbed northern hardwood forest,1990,Autumnal leaf conductance and apparent photosynthesis by saplings and sprouts in a recently disturbed northern hardwood forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0057,Ostrofsky W.D.; Shortle W.C.; Blanchard R.O. (1984). Bark phenolics of American beech (Fagus grandifolia) in relation to the beech bark disease,1984,Bark phenolics of American beech (Fagus grandifolia) in relation to the beech bark disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0058,"Edgin B.R.; Ebinger J.E. (1997). Barrens and the forest-prairie interface in presettlement Crawford County, Illinois",1997,"Barrens and the forest-prairie interface in presettlement Crawford County, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0059,"Stuart-Haëntjens E.; Atkins J.W.; Fotis A.T.; Fahey R.T.; Hardiman B.S.; Alveshere B.C.; Vogel C.; Gough C.M. (2023). Beech bark disease does not reduce the long-term wood production of two forests contrasting in age, productivity, and structure",2023,"Beech bark disease does not reduce the long-term wood production of two forests contrasting in age, productivity, and structure",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0060,"Kish R.; James P.M.A.; Mariani R.O.; Schurman J.S.; Thomas S.C.; Young E.N.; Martin A.R. (2022). Beech Bark Disease in an Unmanaged Temperate Forest: Patterns, Predictors, and Impacts on Ecosystem Function",2022,"Beech Bark Disease in an Unmanaged Temperate Forest: Patterns, Predictors, and Impacts on Ecosystem Function",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0061,Cale J.A.; Garrison-Johnston M.T.; Teale S.A.; Castello J.D. (2017). Beech bark disease in North America: Over a century of research revisited,2017,Beech bark disease in North America: Over a century of research revisited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0062,Latty E.F.; Canham C.D.; Marks P.L. (2003). Beech bark disease in northern hardwood forests: The importance of nitrogen dynamics and forest history for disease severity,2003,Beech bark disease in northern hardwood forests: The importance of nitrogen dynamics and forest history for disease severity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0063,Welshofer K.B.; Vandermast D.B. (2016). Beech Bark Disease Reduces Sus scrofa (Boar) Rooting Intensity in Great Smoky Mountains National Park,2016,Beech Bark Disease Reduces Sus scrofa (Boar) Rooting Intensity in Great Smoky Mountains National Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0064,Lonsdale D.; Wainhouse D. (1987). Beech bark disease.,1987,Beech bark disease.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0065,Cale J.A.; Letkowski S.K.; Teale S.A.; Castello J.D. (2012). Beech bark disease: An evaluation of the predisposition hypothesis in an aftermath forest,2012,Beech bark disease: An evaluation of the predisposition hypothesis in an aftermath forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0066,Giencke L.M.; Dovčiak M.; Mountrakis G.; Cale J.A.; Mitchell M.J. (2014). Beech bark disease: spatial patterns of thicket formation and disease spread in an aftermath forest in the northeastern United States,2014,Beech bark disease: spatial patterns of thicket formation and disease spread in an aftermath forest in the northeastern United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0067,"Koch J.L. (2010). Beech bark disease: The oldest ""New"" threat to American beech in the United States",2010,"Beech bark disease: The oldest ""New"" threat to American beech in the United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0068,Houston D.R.; Valentine H.T. (1988). Beech bark disease: the temporal pattern of cankering in aftermath forests of Maine,1988,Beech bark disease: the temporal pattern of cankering in aftermath forests of Maine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0069,Carta L.K.; Handoo Z.A.; Li S.; Kantor M.; Bauchan G.; McCann D.; Gabriel C.K.; Yu Q.; Reed S.; Koch J.; Martin D.; Burke D.J. (2020). Beech leaf disease symptoms caused by newly recognized nematode subspecies Litylenchus crenatae mccannii (Anguinata) described from Fagus grandifolia in North America,2020,Beech leaf disease symptoms caused by newly recognized nematode subspecies Litylenchus crenatae mccannii (Anguinata) described from Fagus grandifolia in North America,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0070,Webb S.L. (1987). Beech range extension and vegetation history: pollen stratigraphy of two Wisconsin lakes.,1987,Beech range extension and vegetation history: pollen stratigraphy of two Wisconsin lakes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0071,"Beaudet M.; Messier C. (2008). Beech regeneration of seed and root sucker origin: A comparison of morphology, growth, survival, and response to defoliation",2008,"Beech regeneration of seed and root sucker origin: A comparison of morphology, growth, survival, and response to defoliation",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0072,Wagner S.; Collet C.; Madsen P.; Nakashizuka T.; Nyland R.D.; Sagheb-Talebi K. (2010). Beech regeneration research: From ecological to silvicultural aspects,2010,Beech regeneration research: From ecological to silvicultural aspects,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0073,"Cypher J.; Boucher D.H. (1982). Beech- maple coexistence and seedling growth rates at Mont Saint Hilaire, Quebec.",1982,"Beech- maple coexistence and seedling growth rates at Mont Saint Hilaire, Quebec.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0074,"Brisson J.; Bergeron Y.; Bouchard A.; Leduc A. (1994). Beech-maple dynamics in an old-growth forest in southern Quebec, Canada",1994,"Beech-maple dynamics in an old-growth forest in southern Quebec, Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0075,"Radcliffe D.C.; Matthews S.N.; Hix D.M. (2020). Beyond oak regeneration: Modelling mesophytic sapling density drivers along topographic, edaphic, and stand-structural gradients in mature oak-dominated forests of appalachian Ohio",2020,"Beyond oak regeneration: Modelling mesophytic sapling density drivers along topographic, edaphic, and stand-structural gradients in mature oak-dominated forests of appalachian Ohio",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0076,Thomas S.C.; Frye S.; Gale N.; Garmon M.; Launchbury R.; Machado N.; Melamed S.; Murray J.; Petroff A.; Winsborough C. (2013). Biochar mitigates negative effects of salt additions on two herbaceous plant species,2013,Biochar mitigates negative effects of salt additions on two herbaceous plant species,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0077,Calva-Soto K.; Pavón N.P.; Sánchez-González A.; Moreno C.E.; Ramírez-Marcial N. (2019). Biodiversity relationships in three structural components in a beech forest of Fagus grandifolia subsp. Mexicana; [Relaciones de la biodiversidad en tres componentes estructurales de un bosque de hayas de Fagus grandifolia subsp. mexicana],2019,Biodiversity relationships in three structural components in a beech forest of Fagus grandifolia subsp. Mexicana; [Relaciones de la biodiversidad en tres componentes estructurales de un bosque de hayas de Fagus grandifolia subsp. mexicana],,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0078,Seger R.L.; Servello F.A.; Cross R.A.; Keisler D.H. (2013). Body mass and mast abundance influence foraging ecology of the American black bear (Ursus Americanus) in Maine,2013,Body mass and mast abundance influence foraging ecology of the American black bear (Ursus Americanus) in Maine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0079,Liang S.Y.; Seagle S.W. (2002). Browsing and microhabitat effects on riparian forest woody seedling demography,2002,Browsing and microhabitat effects on riparian forest woody seedling demography,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0080,Willis J.L.; Walters M.B.; Farinosi E.J. (2021). Can coppicing planted saplings improve the growing position of mid-tolerant northern hardwood tree species in harvest gaps?,2021,Can coppicing planted saplings improve the growing position of mid-tolerant northern hardwood tree species in harvest gaps?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0081,Cho D.S.; Boerner R.E.J. (1991). Canopy disturbance patterns and regeneration of Quercus species in two Ohio old-growth forests,1991,Canopy disturbance patterns and regeneration of Quercus species in two Ohio old-growth forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0082,"Richards J.D.; Hart J.L. (2011). Canopy gap dynamics and development patterns in secondary Quercus stands on the Cumberland Plateau, Alabama, USA",2011,"Canopy gap dynamics and development patterns in secondary Quercus stands on the Cumberland Plateau, Alabama, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0083,Rentch J.S.; Schuler T.M.; Nowacki G.J.; Beane N.R.; Ford W.M. (2010). Canopy gap dynamics of second-growth red spruce-northern hardwood stands in West Virginia,2010,Canopy gap dynamics of second-growth red spruce-northern hardwood stands in West Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0084,Tourville J.C.; Wason J.W.; Dovciak M. (2022). Canopy gaps facilitate upslope shifts in montane conifers but not in temperate deciduous trees in the Northeastern United States,2022,Canopy gaps facilitate upslope shifts in montane conifers but not in temperate deciduous trees in the Northeastern United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0085,"Hancock J.E.; Arthur M.A.; Weathers K.C.; Lovett G.M. (2008). Carbon cycling along a gradient of beech bark disease impact in the Catskill Mountains, New York",2008,"Carbon cycling along a gradient of beech bark disease impact in the Catskill Mountains, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0086,Cook-Patton S.C.; Maynard L.; Lemoine N.P.; Shue J.; Parker J.D. (2014). Cascading effects of a highly specialized beech-aphid-fungus interaction on forest regeneration,2014,Cascading effects of a highly specialized beech-aphid-fungus interaction on forest regeneration,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0087,"Larson B.M.H.; Waldron G.E. (2000). Catastrophic windthrow in Rondeau Provincial Park, Ontario",2000,"Catastrophic windthrow in Rondeau Provincial Park, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0088,"Kenefic L.S.; Nyland R.D. (2007). Cavity trees, snags, and selection cutting: A Northern Hardwood case study",2007,"Cavity trees, snags, and selection cutting: A Northern Hardwood case study",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0089,"Seitler K.; Coe N. (2015). cDNA primers for quantitative analysis of protective compounds implicated in beech bark disease resistance in American beech, Fagus grandifolia",2015,"cDNA primers for quantitative analysis of protective compounds implicated in beech bark disease resistance in American beech, Fagus grandifolia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0090,"Tatina R. (2015). Changes in Fagus grandifolia and Acer saccharum Abundance in an Old-Growth, Beech-Maple Forest at Warren Woods State Park, Berrien County, Michigan, USA",2015,"Changes in Fagus grandifolia and Acer saccharum Abundance in an Old-Growth, Beech-Maple Forest at Warren Woods State Park, Berrien County, Michigan, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
